rgi_id,glac_name,termlat,termlon,cenlat,cenlon,slope_deg,area_km2,zmin_m,zmax_m
RGI2000-v7.0-G-15-02966,,30.05777509735898,82.1474539313659,30.063903,82.15989614686839,23.158268,1.871472394515824,4904.463,5987.3833
RGI2000-v7.0-G-15-02967,,30.04492636825211,82.16586294430559,30.0545885,82.16683455707667,22.772102,1.047569684739981,5032.6577,6099.057
RGI2000-v7.0-G-15-02968,,30.04807731510052,82.16038467610053,30.050139,82.16091633296746,25.144258,0.056250720463988,5257.918,5435.161
RGI2000-v7.0-G-15-02969,,30.05015441449054,82.15466430153576,30.0507025,82.15710027375809,20.992794,0.133342735644705,5149.472,5324.773
RGI2000-v7.0-G-15-02970,,30.04348646872564,82.17232215936826,30.043014,82.17363978991867,29.930943,0.048155457980632,5169.384,5323.581
RGI2000-v7.0-G-15-02972,,30.034471025869987,82.18885313865229,30.0332655,82.19048510962003,29.524717,0.100136208572846,5181.063,5412.4224
RGI2000-v7.0-G-15-02973,,30.03292849816995,82.1973004256657,30.031914,82.195598417246,33.168865,0.098523239205699,5219.6387,5398.775
RGI2000-v7.0-G-15-02975,,30.04452168463858,82.20962613664943,30.043062,82.2080163559856,22.491934,0.12592692774053,5118.402,5330.0537
RGI2000-v7.0-G-15-02976,,30.04091154533897,82.21436529973221,30.039803,82.21280963653498,24.088352,0.081484487805612,5062.1753,5236.222
RGI2000-v7.0-G-15-02977,,30.031848871049515,82.21024771836683,30.0323605,82.21113471365929,26.493927,0.049886243028452,5164.076,5281.412
